Date (GMT+1),Nuclear,Non-Renewable,Renewable,Day Ahead Auction
,Power (MW),Power (MW),Power (MW),"Price (EUR/MWh, EUR/tCO2)"
2022-01-05T22:00+01:00,4086.89,23767.91,38972.63,118.71
2022-01-05T23:00+01:00,4091.23,23214.08,37746.28,99.68
2022-01-06T00:00+01:00,4089.41,21521.04,36525.77,99.85
2022-01-06T01:00+01:00,4095.1,21724.03,34629.86,101.32
2022-01-06T02:00+01:00,4091.19,23435.07,32995.76,110.01
2022-01-06T03:00+01:00,4091.05,24223.48,31046.29,111.55
2022-01-06T04:00+01:00,4022.44,25534.13,28629.53,123.37
2022-01-06T05:00+01:00,3986.75,27147.92,27006.5,149.94
2022-01-06T06:00+01:00,3985.42,29241.63,25373.25,185.92
2022-01-06T07:00+01:00,3990.08,31666.99,22215.11,228.25
2022-01-06T08:00+01:00,3989.25,33778.03,20123.79,228.92
2022-01-06T09:00+01:00,3962.2,34222.57,19688.99,212.9
2022-01-06T10:00+01:00,3960.73,33648.03,21409.36,215.5
2022-01-06T11:00+01:00,3956.4,33459.15,23738.03,231.9
2022-01-06T12:00+01:00,3961.64,33394.48,24748.16,226
2022-01-06T13:00+01:00,3982.31,33228.47,24461.26,209.2
2022-01-06T14:00+01:00,4068.11,33087.77,21765.97,216.06
2022-01-06T15:00+01:00,4091.22,34014.46,17457.21,230.77
2022-01-06T16:00+01:00,4088.32,34339.85,14546.03,245.95
2022-01-06T17:00+01:00,4090.28,34441.93,17900.13,274.11
2022-01-06T18:00+01:00,4088.26,34234.37,21362.67,273.44
2022-01-06T19:00+01:00,4086.54,33912.56,24677.29,245.48
2022-01-06T20:00+01:00,4089.63,32660.01,27693.49,226.14
2022-01-06T21:00+01:00,4089.2,29750.92,29597.65,208.31
2022-01-06T22:00+01:00,4091.11,28521.76,29868.54,178.75
2022-01-06T23:00+01:00,4093.69,27857.3,30630.92,124.7
2022-01-07T00:00+01:00,4091.92,26608.01,31570.55,128.92
2022-01-07T01:00+01:00,4091.7,25211.39,32338.41,118.4
2022-01-07T02:00+01:00,4092.28,24597.56,33533.27,103.01
2022-01-07T03:00+01:00,4096.18,23710.04,34888.52,101.91
